wavenumber,intensity
400.0,1.0848717546097623e-05
401.037037037037,1.0961222765094186e-05
402.0740740740741,1.1073727984090756e-05
403.1111111111111,1.1186233203087323e-05
404.14814814814815,1.1298738422083895e-05
405.18518518518516,1.1411243641080458e-05
406.22222222222223,1.152374886007703e-05
407.25925925925924,1.1636254079073595e-05
408.2962962962963,1.1748759298070167e-05
409.3333333333333,1.186126451706673e-05
410.3703703703704,1.1973769736063302e-05
411.4074074074074,1.2086274955059869e-05
412.44444444444446,1.2198780174056439e-05
413.48148148148147,1.2311285393053002e-05
414.51851851851853,1.2423790612049574e-05
415.55555555555554,1.253629583104614e-05
416.5925925925926,1.2648801050042711e-05
417.6296296296296,1.2761306269039276e-05
418.6666666666667,1.2873811488035846e-05
419.7037037037037,1.2986316707032413e-05
420.74074074074076,1.3098821926028983e-05
421.77777777777777,1.3211327145025548e-05
422.81481481481484,1.3323832364022118e-05
423.85185185185185,1.3436337583018685e-05
424.8888888888889,1.3548842802015257e-05
425.9259259259259,1.366134802101182e-05
426.96296296296293,1.3773853240008387e-05
428.0,1.3886358459004957e-05
429.037037037037,1.3998863678001522e-05
430.0740740740741,1.4111368896998092e-05
431.1111111111111,1.4223874115994659e-05
432.14814814814815,1.4336379334991229e-05
433.18518518518516,1.4448884553987794e-05
434.22222222222223,1.4561389772984364e-05
435.25925925925924,1.4673894991980929e-05
436.2962962962963,1.4786400210977502e-05
437.3333333333333,1.4898905429974066e-05
438.3703703703704,1.5011410648970638e-05
439.4074074074074,1.5123915867967203e-05
440.44444444444446,1.5236421086963774e-05
441.48148148148147,1.5348926305960338e-05
442.51851851851853,1.5461431524956908e-05
443.55555555555554,1.5573936743953475e-05
444.5925925925926,1.5686441962950045e-05
445.6296296296296,1.579894718194661e-05
446.6666666666667,1.591145240094318e-05
447.7037037037037,1.6023957619939748e-05
448.74074074074076,1.613646283893632e-05
449.77777777777777,1.624896805793288e-05
450.8148148148148,1.6361473276929445e-05
451.85185185185185,1.647397849592602e-05
452.8888888888889,1.658648371492259e-05
453.9259259259259,1.6698988933919155e-05
454.96296296296293,1.6811494152915722e-05
456.0,1.6923999371912292e-05
457.037037037037,1.7036504590908856e-05
458.0740740740741,1.7149009809905426e-05
459.1111111111111,1.7261515028901992e-05
460.14814814814815,1.7374020247898562e-05
461.18518518518516,1.748652546689513e-05
462.22222222222223,1.75990306858917e-05
463.25925925925924,1.7711535904888266e-05
464.2962962962963,1.7824041123884836e-05
465.3333333333333,1.79365463428814e-05
466.3703703703704,1.8049051561877973e-05
467.4074074074074,1.8161556780874536e-05
468.44444444444446,1.8274061999871106e-05
469.48148148148147,1.8386567218867673e-05
470.51851851851853,1.8499072437864243e-05
471.55555555555554,1.861157765686081e-05
472.5925925925926,1.872408287585738e-05
473.6296296296296,1.8836588094853943e-05
474.66666666666663,1.894909331385051e-05
475.7037037037037,1.906159853284708e-05
476.74074074074076,1.917410375184365e-05
477.77777777777777,1.9286608970840217e-05
478.8148148148148,1.939911418983678e-05
479.85185185185185,1.9511619408833354e-05
480.8888888888889,1.9624124627829924e-05
481.9259259259259,1.9736629846826487e-05
482.96296296296293,1.9849135065823054e-05
484.0,1.9961640284819624e-05
485.03703703703707,2.0074145503816194e-05
486.0740740740741,2.018665072281276e-05
487.1111111111111,2.0299155941809328e-05
488.14814814814815,2.0411661160805898e-05
489.18518518518516,2.052416637980246e-05
490.22222222222223,2.063667159879903e-05
491.25925925925924,2.0749176817795598e-05
492.2962962962963,2.0861682036792168e-05
493.3333333333333,2.0974187255788735e-05
494.3703703703704,2.108669247478531e-05
495.4074074074074,2.1199197693781872e-05
496.44444444444446,2.1311702912778445e-05
497.48148148148147,2.1424208131775005e-05
498.51851851851853,2.1536713350771575e-05
499.55555555555554,2.1649218569768142e-05
500.5925925925926,2.208316727161206e-05
501.6296296296296,2.275819858559145e-05
502.66666666666663,2.343322989957084e-05
503.7037037037037,2.4108261213550265e-05
504.74074074074076,2.4783292527529692e-05
505.77777777777777,2.5458323841509082e-05
506.8148148148148,2.6133355155488472e-05
507.85185185185185,2.68083864694679e-05
508.8888888888889,2.7483417783447327e-05
509.9259259259259,2.8158449097426714e-05
510.96296296296293,2.8833480411406108e-05
512.0,2.9508511725385535e-05
513.0370370370371,3.018354303936496e-05
514.074074074074,3.085857435334431e-05
515.1111111111111,3.153360566732374e-05
516.1481481481482,3.220863698130316e-05
517.1851851851852,3.288366829528259e-05
518.2222222222222,3.355869960926195e-05
519.2592592592592,3.4233730923241375e-05
520.2962962962963,3.49087622372208e-05
521.3333333333334,3.558379355120023e-05
522.3703703703703,3.6258824865179576e-05
523.4074074074074,3.6933856179159003e-05
524.4444444444445,3.760888749313843e-05
525.4814814814815,3.828391880711786e-05
526.5185185185185,3.895895012109721e-05
527.5555555555555,3.963398143507664e-05
528.5925925925926,4.0309012749056066e-05
529.6296296296296,4.098404406303542e-05
530.6666666666666,4.1659075377014847e-05
531.7037037037037,4.2334106690994274e-05
532.7407407407408,4.3009138004973695e-05
533.7777777777778,4.368416931895312e-05
534.8148148148148,4.4359200632932475e-05
535.8518518518518,4.50342319469119e-05
536.8888888888889,4.570926326089133e-05
537.9259259259259,4.6384294574870676e-05
538.9629629629629,4.7059325888850104e-05
540.0,4.773435720282954e-05
541.0370370370371,4.8409388516808965e-05
542.0740740740741,4.908441983078839e-05
543.1111111111111,4.9759451144767746e-05
544.1481481481482,5.0434482458747166e-05
545.1851851851852,5.110951377272661e-05
546.2222222222222,5.1784545086705953e-05
547.2592592592592,5.245957640068538e-05
548.2962962962963,5.313460771466481e-05
549.3333333333333,5.3809639028644154e-05
550.3703703703703,5.448467034262358e-05
551.4074074074074,5.515970165660301e-05
552.4444444444445,5.583473297058244e-05
553.4814814814815,5.6509764284561864e-05
554.5185185185185,5.718479559854121e-05
555.5555555555555,5.785982691252064e-05
556.5925925925926,5.8534858226500065e-05
557.6296296296296,5.9209889540479425e-05
558.6666666666666,5.988492085445885e-05
559.7037037037037,6.055995216843828e-05
560.7407407407408,6.12349834824177e-05
561.7777777777778,6.191001479639713e-05
562.8148148148148,6.258504611037649e-05
563.8518518518518,6.326007742435592e-05
564.8888888888889,6.393510873833534e-05
565.9259259259259,6.46101400523147e-05
566.9629629629629,6.528517136629412e-05
568.0,6.596020268027355e-05
569.0370370370371,6.663523399425297e-05
570.0740740740741,6.731026530823239e-05
571.1111111111111,6.798529662221174e-05
572.1481481481482,6.866032793619118e-05
573.1851851851852,6.93353592501706e-05
574.2222222222222,7.001039056414997e-05
575.2592592592592,7.068542187812939e-05
576.2962962962963,7.136045319210881e-05
577.3333333333333,7.203548450608816e-05
578.3703703703703,7.27105158200676e-05
579.4074074074074,7.338554713404702e-05
580.4444444444445,7.406057844802644e-05
581.4814814814815,7.473560976200587e-05
582.5185185185185,7.541064107598522e-05
583.5555555555555,7.608567238996464e-05
584.5925925925926,7.676070370394408e-05
585.6296296296296,7.743573501792343e-05
586.6666666666666,7.811076633190285e-05
587.7037037037037,7.878579764588229e-05
588.7407407407408,7.94608289598617e-05
589.7777777777778,8.013586027384114e-05
590.8148148148148,8.081089158782048e-05
591.8518518518518,8.148592290179991e-05
592.8888888888889,8.216095421577934e-05
593.9259259259259,8.28359855297587e-05
594.9629629629629,8.351101684373812e-05
596.0,8.418604815771756e-05
597.0370370370371,8.486107947169696e-05
598.0740740740741,8.55361107856764e-05
599.1111111111111,8.621114209965575e-05
600.1481481481482,8.698260645848939e-05
601.1851851851852,8.833266908644824e-05
602.2222222222222,8.968273171440693e-05
603.2592592592592,9.10327943423658e-05
604.2962962962963,9.238285697032466e-05
605.3333333333333,9.373291959828336e-05
606.3703703703703,9.508298222624222e-05
607.4074074074074,9.643304485420106e-05
608.4444444444445,9.778310748215991e-05
609.4814814814815,9.913317011011877e-05
610.5185185185185,0.00010048323273807747
