wavenumber,intensity
450.0,0.10079176186423332
451.0,0.10079176186423332
452.0,0.10079176186423332
453.0,0.11455454705469985
454.0,0.12446293881145355
455.0,0.13169466846146263
456.0,0.13657093545753626
457.0,0.13727160956708784
458.0,0.135991553717648
459.0,0.12702947762185088
460.0,0.11565840562998325
461.0,0.10103518917842043
462.0,0.09005223319203091
463.0,0.08020685860100815
464.0,0.05866447060350977
465.0,0.04334532200419347
466.0,0.04130241745433164
467.0,0.035378352849689834
468.0,0.02704529234897746
469.0,0.0256180200836669
470.0,0.02483314672397511
471.0,0.024048273364283328
472.0,0.022621001098972783
473.0,0.020578096549110903
474.0,0.01955232359981212
475.0,0.01890128334545758
476.0,0.01937444117593587
477.0,0.01984759900641416
478.0,0.020320756836892453
479.0,0.02035226541975785
480.0,0.020196407655151093
481.0,0.01752448751020416
482.0,0.015414666407673703
483.0,0.01462979304798195
484.0,0.013470186993345911
485.0,0.01205629803856909
486.0,0.011766607168625123
487.0,0.011610749404018376
488.0,0.011454891639411626
489.0,0.010683401590253565
490.0,0.009269512635476767
491.0,0.008845988660195519
492.0,0.008636597653453888
493.0,0.007851724293762094
494.0,0.0075486501132843945
495.0,0.008021807943762662
496.0,0.006781902025924241
497.0,0.004738997476062337
498.0,0.004533208000097387
499.0,0.004538023205057809
500.0,0.004989199293722002
501.0,0.011579464669664452
502.0,0.022717203591738833
503.0,0.025624206535572357
504.0,0.026041913720133442
505.0,0.020196231574911527
506.0,0.01641157925188329
507.0,0.014969006272256759
508.0,0.01497183083027241
509.0,0.015416304635900975
510.0,0.01586077844152952
511.0,0.01607773596808477
512.0,0.015893194178628302
513.0,0.014049121882989981
514.0,0.0113485177131933
515.0,0.00985241149143187
516.0,0.008731037964614755
517.0,0.008546496175158288
518.0,0.009057886533455546
519.0,0.0101313759341691
520.0,0.01066953291353375
521.0,0.011207689892898403
522.0,0.012281179293611971
523.0,0.014478866779158219
524.0,0.018068418560212025
525.0,0.02072113860390519
526.0,0.02297235933158662
527.0,0.023416833137215202
528.0,0.02514610475408131
529.0,0.029364672130220173
530.0,0.03599223540242951
531.0,0.04398489634907866
532.0,0.048444363314824414
533.0,0.05487117692902825
534.0,0.06852497823144195
535.0,0.0838516933505716
536.0,0.10065057262841144
537.0,0.1090982661332072
538.0,0.12209628521947011
539.0,0.17789413139257917
540.0,0.2176320049252229
541.0,0.23568891539323286
542.0,0.25010556539606993
543.0,0.26374598338795036
544.0,0.30570548646919204
545.0,0.33421476246404036
546.0,0.3340302206745839
547.0,0.33306944687417134
548.0,0.33162687389454476
549.0,0.33133526562081855
550.0,0.3232545706164659
551.0,0.2859581087169916
552.0,0.23934686268604527
553.0,0.18380894852910457
554.0,0.14657940318229926
555.0,0.1134853007904146
556.0,0.07870490127128281
557.0,0.056130080958905273
558.0,0.05154243000385345
559.0,0.05004632378209187
560.0,0.04986178199263539
561.0,0.0415000374670733
562.0,0.0344498573738163
563.0,0.03049122201384953
564.0,0.03177884438310317
565.0,0.03662642735432708
566.0,0.03753931702863566
567.0,0.0378633410394607
568.0,0.03767879925000423
569.0,0.031953566899585756
570.0,0.02044674439859841
571.0,0.01686284173357631
572.0,0.015527335238219532
573.0,0.015342793448763048
574.0,0.015399151248913582
575.0,0.015843625054542152
576.0,0.016716364797249895
577.0,0.017789854197963507
578.0,0.018247711314125788
579.0,0.01973608334138501
580.0,0.023954650717523864
581.0,0.043711241623317285
582.0,0.07497747958811113
583.0,0.1018539916978453
584.0,0.12723157302780247
585.0,0.14843356147123762
586.0,0.15991926646718835
587.0,0.16036374027281688
588.0,0.15695382064473315
589.0,0.14931477488799424
590.0,0.0969219387064788
591.0,0.06273040485082756
592.0,0.06065881627611593
593.0,0.04614074890504049
594.0,0.02519869247777742
595.0,0.017506113478901936
596.0,0.01104479904912891
597.0,0.006457148094077385
598.0,0.0046465441444420085
599.0,0.005078939699181547
600.0,0.0049700611914385365
601.0,0.0048587526690116066
602.0,0.005274832410873392
603.0,0.005407798960852429
604.0,0.005190244416119545
605.0,0.004967445036226168
606.0,0.004795970076721092
607.0,0.005819754732906029
608.0,0.013695794382357776
609.0,0.034848078081264264
610.0,0.042750884351783154
611.0,0.04314565341288304
612.0,0.025285586905981955
613.0,0.010155715747962696
614.0,0.008034422428722529
615.0,0.007251460162854676
616.0,0.007646229223954563
617.0,0.007519049174239199
618.0,0.006963603187444612
619.0,0.0042132942731194405
620.0,0.002790183481434891
621.0,0.00315879015531564
622.0,0.0035122711507213408
623.0,0.0038730064204116218
624.0,0.004833472299195346
625.0,0.005591673106244053
626.0,0.005918375093591408
627.0,0.006244295461194781
628.0,0.006569730685508785
629.0,0.007470648262772914
630.0,0.008826598398183587
631.0,0.011668096002837783
632.0,0.014509593607491983
633.0,0.01735109121214619
634.0,0.018158325615674233
635.0,0.018550677392656884
636.0,0.019505128212055876
637.0,0.020459579031454893
638.0,0.02141402985085395
639.0,0.021926831422640115
640.0,0.022252266646954125
641.0,0.022577701871268136
642.0,0.02271577074810999
643.0,0.02241219037733895
644.0,0.02210861000656792
645.0,0.021805029635796894
646.0,0.021501449265025854
647.0,0.021318318689058324
648.0,0.02164375391337233
649.0,0.02135355685313501
650.0,0.02042096088727892
651.0,0.019983547411170664
652.0,0.01962643379826478
653.0,0.018693837832408692
654.0,0.018243041045766642
655.0,0.018568476270080642
656.0,0.019750443368553
657.0,0.021333909783037102
658.0,0.025379905335726538
659.0,0.030175366278304607
660.0,0.036790957453469095
661.0,0.04087710293775931
662.0,0.04308958494732832
663.0,0.04639949842066282
664.0,0.04954881216759269
665.0,0.0511322785820768
666.0,0.05242131216481893
667.0,0.05337576298421791
668.0,0.05047582036990466
669.0,0.04631784656542105
670.0,0.040982141433969624
671.0,0.0356464363025182
672.0,0.030310731171066776
673.0,0.026634556545797192
674.0,0.023814913794685963
675.0,0.023404266939645205
676.0,0.023261286295278887
677.0,0.023586721519592877
678.0,0.02391215674390688
679.0,0.024237591968220888
680.0,0.024563027192534902
681.0,0.024888462416848917
682.0,0.02521389764116293
683.0,0.025258283344268717
684.0,0.024954702973497705
685.0,0.02465112260272667
686.0,0.024240475747685914
687.0,0.021420832996574688
688.0,0.019457722119621813
689.0,0.01915414174885077
690.0,0.016843064798021008
691.0,0.013394406451824731
692.0,0.011712345096080254
693.0,0.010003517119268255
694.0,0.007812889963242071
695.0,0.006626011097245177
696.0,0.006322430726474136
697.0,0.009672576113401716
698.0,0.013370704391024868
699.0,0.014325254009234541
700.0,0.01313847394204865
701.0,0.009060898799578004
702.0,0.005438356215253964
703.0,0.002069422477442696
704.0,0.002363275980053071
705.0,0.002849209993309272
706.0,0.0037449157626098842
707.0,0.004243445582354708
708.0,0.004495452398927008
709.0,0.0030104800005184796
710.0,0.0014903036812087724
711.0,0.000437716863441469
712.0,0.0
713.0,0.00015153350945413963
714.0,0.0007703942484222076
715.0,0.001763569495952669
716.0,0.004971251390373403
717.0,0.007161801684231292
718.0,0.007853421198312052
719.0,0.00810339146477992
720.0,0.00816599538377563
721.0,0.008228599302771339
722.0,0.008103836874294891
723.0,0.007537425198205551
724.0,0.007345746217060522
725.0,0.0074083501360562255
726.0,0.0069088550126355334
727.0,0.006463117312522771
728.0,0.006526891955422271
729.0,0.006591550406659599
730.0,0.006657131092684228
731.0,0.006724641939945519
732.0,0.006899740936675631
733.0,0.008225804639306122
734.0,0.01412896054446996
735.0,0.027406320553716366
736.0,0.031261829947220904
737.0,0.030700846864596246
738.0,0.025214805505560933
739.0,0.021535511068578733
740.0,0.022861574771209137
741.0,0.024910337242660643
742.0,0.027494432135461228
743.0,0.02843237983261376
744.0,0.02966476036150818
745.0,0.033506886444478856
746.0,0.036171281200481735
747.0,0.037497344903112226
748.0,0.04412319957709748
749.0,0.05425548161091685
750.0,0.09206444982848015
751.0,0.12759825525531038
752.0,0.15911706752202318
753.0,0.2080609501036453
754.0,0.26599841736393015
755.0,0.28900544413119317
756.0,0.3066056134428316
757.0,0.31296380190614204
758.0,0.32071385466496
759.0,0.3295881055086111
760.0,0.33043237003202763
761.0,0.3224704162242528
762.0,0.2722172011299093
763.0,0.24248060108376723
764.0,0.23814552443063258
765.0,0.24130510167638286
766.0,0.2468201415760692
767.0,0.24751718968361466
768.0,0.24800010482262053
769.0,0.24806813733508093
770.0,0.2453256746354591
771.0,0.24099059798232414
772.0,0.204267909837577
773.0,0.16518975903889546
774.0,0.12562980906099788
775.0,0.10012233514351032
776.0,0.08698104015918469
777.0,0.07175194873159807
778.0,0.05681729013575352
779.0,0.04682107312685315
780.0,0.03628952369660405
781.0,0.02503527549753433
782.0,0.020606515670663156
783.0,0.018774118087334684
784.0,0.016326088219454884
785.0,0.014279557667586831
786.0,0.013089558989877128
787.0,0.011511444306689468
