wavenumber,intensity
450.0,0.09358443606613931
451.0,0.09358443606613931
452.0,0.10061358763953564
453.0,0.10836351987383236
454.0,0.11840516497868447
455.0,0.1284468100835366
456.0,0.1353342697321407
457.0,0.14135925679505196
458.0,0.14771691185530184
459.0,0.15474606342869818
460.0,0.1617752150020945
461.0,0.17056627485769194
462.0,0.17960375545205887
463.0,0.18694093294891703
464.0,0.1919617555013431
465.0,0.19698257805376915
466.0,0.20103003868805605
467.0,0.2050466967299968
468.0,0.20699342056627487
469.0,0.20699342056627487
470.0,0.2069318153815825
471.0,0.2059276508710973
472.0,0.2049234863606121
473.0,0.19721051723713046
474.0,0.1851605431113082
475.0,0.17280254306202417
476.0,0.1587442399152312
477.0,0.14468593676843827
478.0,0.1271161380941816
479.0,0.10803701239496258
480.0,0.0896971489120519
481.0,0.0736305167442889
482.0,0.0575638845765259
483.0,0.05103373499913758
484.0,0.04701707695719683
485.0,0.04300041891525604
486.0,0.0389837608733152
487.0,0.03496710283137435
488.0,0.030063330129863758
489.0,0.0250425075774377
490.0,0.020452921317858103
491.0,0.01643626327591735
492.0,0.0124196052339766
493.0,0.011341514501860498
494.0,0.010337349991375285
495.0,0.009856829550774994
496.0,0.009856829550774994
497.0,0.009856829550774994
498.0,0.009856829550774994
499.0,0.009856829550774994
500.0,0.009856829550774994
501.0,0.009856829550774994
502.0,0.009856829550774994
503.0,0.009856829550774994
504.0,0.009856829550774994
505.0,0.009856829550774994
506.0,0.009856829550774994
507.0,0.009856829550774994
508.0,0.009856829550774994
509.0,0.009856829550774994
510.0,0.010657696951775477
511.0,0.011661861462260689
512.0,0.011976047904191593
513.0,0.010971883393706406
514.0,0.009967718883221217
515.0,0.009856829550774994
516.0,0.009856829550774994
517.0,0.009856829550774994
518.0,0.009856829550774994
519.0,0.009856829550774994
520.0,0.009856829550774994
521.0,0.009856829550774994
522.0,0.009856829550774994
523.0,0.009856829550774994
524.0,0.009856829550774994
525.0,0.009856829550774994
526.0,0.009856829550774994
